site,year,month,age,case
Siaya,2013,1,5,24
Siaya,2013,1,100,0
Siaya,2013,2,5,28
Siaya,2013,2,100,0
Siaya,2013,3,5,31
Siaya,2013,3,100,0
Siaya,2013,4,5,29
Siaya,2013,4,100,0
Siaya,2013,5,5,35
Siaya,2013,5,100,0
Siaya,2013,6,5,43
Siaya,2013,6,100,0
Siaya,2013,7,5,37
Siaya,2013,7,100,0
Siaya,2013,8,5,29
Siaya,2013,8,100,0
Siaya,2013,9,5,24
Siaya,2013,9,100,0
Siaya,2013,10,5,22
Siaya,2013,10,100,0
Siaya,2013,11,5,26
Siaya,2013,11,100,0
Siaya,2013,12,5,34
Siaya,2013,12,100,0
Siaya,2014,1,5,30
Siaya,2014,1,100,0
Siaya,2014,2,5,35
Siaya,2014,2,100,0
Siaya,2014,3,5,45
Siaya,2014,3,100,0
Siaya,2014,4,5,40
Siaya,2014,4,100,0
Siaya,2014,5,5,68
Siaya,2014,5,100,0
Siaya,2014,6,5,41
Siaya,2014,6,100,0
Siaya,2014,7,5,79
Siaya,2014,7,100,0
Siaya,2014,8,5,55
Siaya,2014,8,100,0
Siaya,2014,9,5,48
Siaya,2014,9,100,0
Siaya,2014,10,5,50
Siaya,2014,10,100,0
Siaya,2014,11,5,54
Siaya,2014,11,100,0
Siaya,2014,12,5,53
Siaya,2014,12,100,0
Siaya,2015,1,5,51
Siaya,2015,1,100,0
Siaya,2015,2,5,60
Siaya,2015,2,100,0
Siaya,2015,3,5,76
Siaya,2015,3,100,0
Siaya,2015,4,5,65
Siaya,2015,4,100,0
Siaya,2015,5,5,74
Siaya,2015,5,100,0
Siaya,2015,6,5,85
Siaya,2015,6,100,0
Siaya,2015,7,5,77
Siaya,2015,7,100,0
Siaya,2015,8,5,65
Siaya,2015,8,100,0
Siaya,2015,9,5,56
Siaya,2015,9,100,0
Siaya,2015,10,5,49
Siaya,2015,10,100,0
Siaya,2015,11,5,44
Siaya,2015,11,100,0
Siaya,2015,12,5,48
Siaya,2015,12,100,0